Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Datetime,,,,,
2025-06-02 13:30:00+00:00,5904.830078125,5905.97021484375,5892.83984375,5896.68017578125,0
2025-06-02 13:35:00+00:00,5907.7099609375,5908.009765625,5900.72998046875,5905.06005859375,52819536
2025-06-02 13:40:00+00:00,5902.259765625,5907.56982421875,5898.7998046875,5907.56982421875,43820638
2025-06-02 13:45:00+00:00,5894.259765625,5904.02001953125,5893.330078125,5902.47998046875,44945850
2025-06-02 13:50:00+00:00,5881.64990234375,5894.490234375,5877.33984375,5894.39013671875,42813552
2025-06-02 13:55:00+00:00,5877.35009765625,5885.10986328125,5876.5400390625,5881.56982421875,41193435
2025-06-02 14:00:00+00:00,5869.2998046875,5877.0498046875,5861.43017578125,5877.0498046875,50188864
2025-06-02 14:05:00+00:00,5879.41015625,5881.759765625,5867.31005859375,5869.0498046875,38130063
2025-06-02 14:10:00+00:00,5879.3701171875,5882.14990234375,5873.66015625,5879.39990234375,35461568
2025-06-02 14:15:00+00:00,5881.22021484375,5886.1298828125,5877.89990234375,5879.5,36846194
2025-06-02 14:20:00+00:00,5889.68994140625,5893.5,5879.39013671875,5881.10009765625,35391150
2025-06-02 14:25:00+00:00,5895.93017578125,5896.41015625,5889.72998046875,5889.72998046875,30247196
2025-06-02 14:30:00+00:00,5903.14013671875,5903.7001953125,5894.52001953125,5895.7998046875,34279392
2025-06-02 14:35:00+00:00,5894.47998046875,5904.97998046875,5892.7001953125,5903.1201171875,38580828
2025-06-02 14:40:00+00:00,5895.7099609375,5897.830078125,5892.64013671875,5894.33984375,28982787
2025-06-02 14:45:00+00:00,5898.490234375,5900.5,5895.27001953125,5895.740234375,29330169
2025-06-02 14:50:00+00:00,5898.02978515625,5901.72998046875,5897.2998046875,5898.509765625,28188017
2025-06-02 14:55:00+00:00,5903.64990234375,5904.41015625,5896.7099609375,5897.85009765625,30029963
2025-06-02 15:00:00+00:00,5899.81005859375,5906.330078125,5898.259765625,5903.5,34301974
2025-06-02 15:05:00+00:00,5897.64013671875,5902.93994140625,5896.830078125,5899.89013671875,36408113
2025-06-02 15:10:00+00:00,5903.14013671875,5905.1298828125,5895.47998046875,5897.60986328125,27580948
2025-06-02 15:15:00+00:00,5901.18017578125,5903.52978515625,5899.47998046875,5903.10986328125,24047745
2025-06-02 15:20:00+00:00,5901.27001953125,5902.9599609375,5899.35009765625,5901.169921875,25626607
2025-06-02 15:25:00+00:00,5895.77978515625,5902.1298828125,5893.8701171875,5901.22998046875,27213357
2025-06-02 15:30:00+00:00,5892.91015625,5897.2001953125,5892.77001953125,5895.9599609375,27533407
2025-06-02 15:35:00+00:00,5894.5498046875,5896.35009765625,5892.22998046875,5892.81005859375,22450589
2025-06-02 15:40:00+00:00,5900.7099609375,5901.1201171875,5893.72998046875,5894.47021484375,25873000
2025-06-02 15:45:00+00:00,5903.14990234375,5903.16015625,5899.58984375,5900.7099609375,21609000
2025-06-02 15:50:00+00:00,5909.8701171875,5910.3701171875,5902.830078125,5903.22998046875,23956000
2025-06-02 15:55:00+00:00,5908.2998046875,5910.91015625,5906.27978515625,5909.740234375,22724000
2025-06-02 16:00:00+00:00,5905.2099609375,5909.43994140625,5902.7900390625,5908.2998046875,25518000
2025-06-02 16:05:00+00:00,5906.60009765625,5906.77001953125,5903.47021484375,5905.22998046875,20734000
2025-06-02 16:10:00+00:00,5906.9501953125,5908.22998046875,5905.8798828125,5906.58984375,18876000
2025-06-02 16:15:00+00:00,5906.77978515625,5907.2998046875,5903.83984375,5906.91015625,17927000
2025-06-02 16:20:00+00:00,5906.4599609375,5907.759765625,5905.85986328125,5906.77001953125,17164000
2025-06-02 16:25:00+00:00,5904.06005859375,5906.5400390625,5900.81005859375,5906.47021484375,21511000
2025-06-02 16:30:00+00:00,5906.3701171875,5906.43017578125,5903.43017578125,5904.1298828125,18331000
2025-06-02 16:35:00+00:00,5906.31005859375,5907.6201171875,5903.06982421875,5906.3701171875,16749000
2025-06-02 16:40:00+00:00,5901.990234375,5906.77001953125,5901.47998046875,5906.240234375,16597000
2025-06-02 16:45:00+00:00,5903.5400390625,5906.22998046875,5902.02978515625,5902.080078125,19773000
2025-06-02 16:50:00+00:00,5911.77001953125,5911.77001953125,5902.990234375,5903.47021484375,19328000
2025-06-02 16:55:00+00:00,5910.33984375,5911.7900390625,5910.009765625,5911.77978515625,16594000
2025-06-02 17:00:00+00:00,5912.43017578125,5915.22021484375,5910.2900390625,5910.31982421875,22984000
2025-06-02 17:05:00+00:00,5915.77001953125,5915.83984375,5912.009765625,5912.41015625,17013000
2025-06-02 17:10:00+00:00,5911.7001953125,5916.2001953125,5911.7001953125,5915.8701171875,15930000
2025-06-02 17:15:00+00:00,5912.56982421875,5914.16015625,5911.5,5911.68994140625,20174000
2025-06-02 17:20:00+00:00,5911.93017578125,5912.6201171875,5908.97021484375,5912.56982421875,18297000
2025-06-02 17:25:00+00:00,5909.10986328125,5912.72021484375,5908.0,5911.93017578125,18940000
2025-06-02 17:30:00+00:00,5910.18017578125,5912.31982421875,5908.77001953125,5909.10009765625,17325000
2025-06-02 17:35:00+00:00,5910.93994140625,5911.35009765625,5908.43017578125,5910.169921875,19354000
2025-06-02 17:40:00+00:00,5908.56982421875,5910.93017578125,5908.16015625,5910.93017578125,16597000
2025-06-02 17:45:00+00:00,5907.31005859375,5909.009765625,5906.8798828125,5908.669921875,16211000
