feature,importance
macd_signal,4
sma_5,3
price_change,3
macd,2
volatility_10d,2
bb_position,2
rsi,2
price_change_5d,2
volatility_20d,1
resistance_distance,1
day_of_week,1
volume_ratio,1
support_distance,0
resistance,0
price_change_10d,0
support,0
hl_spread_avg,0
hl_spread,0
month,0
volume_sma,0
sma_10,0
bb_width,0
bb_lower,0
bb_upper,0
bb_middle,0
macd_histogram,0
ema_26,0
ema_12,0
sma_50,0
sma_20,0
quarter,0
