Date,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi,bb_middle,bb_upper,bb_lower,bb_width,bb_position,volume_sma,volume_ratio,price_change,price_change_5d,price_change_10d,volatility_10d,volatility_20d,hl_spread,hl_spread_avg,support,resistance,support_distance,resistance_distance,day_of_week,month,quarter,target
2022-02-25 00:00:00-05:00,0.311322718675674,0.42311757861771015,0.5696344875321667,0.8399036740091775,0.444302591164269,0.5862529247031176,-1.621225195371455,-1.4927252941226474,-0.6638828393936063,-0.8492484053326892,0.5696344875321667,0.6674956033521209,0.46954881750755534,0.600812734621607,-0.8172165371795596,0.5350023651670935,0.40499083932595636,1.6918817143045615,-0.0996393387580719,-0.8931809464687203,0.569867362478843,0.5225638495247363,1.0969999362893024,1.1185060371425806,0.28094245446008803,0.6184924952735502,0.4503341284195364,0.39937909726734927,1.417230637279353,-1.3166457254665263,-1.3410112378278243,-0.2685138882580511
2022-02-28 00:00:00-05:00,0.31978944518818103,0.41554714979181095,0.5646914565421297,0.8280903520804851,0.44290030050432,0.5773643183210719,-1.531762928521828,-1.515588744575695,-0.31299503618845625,-0.8290562779376286,0.5646914565421297,0.6665652152481261,0.46094255274314455,0.6312775865279903,-0.8739772649546612,0.6072260917776306,1.3559667040187144,-0.24837146083431424,0.08233550139248522,-0.4518436823327903,0.43711824231691293,0.3946948905025919,0.4499071686414401,0.9646193002896951,0.28094245446008803,0.6184924952735502,0.37871690395499935,0.45615846792672204,-1.4518622130023446,-1.3166457254665263,-1.3410112378278243,-1.3322488406476354
2022-03-01 00:00:00-05:00,0.3202960338925115,0.39938847772988845,0.5468271091463838,0.8153450755047391,0.42399069461277406,0.5604727896375833,-1.559346686220869,-1.5397154969239804,-0.3280849815814129,-1.216604684847066,0.5468271091463838,0.657306626000027,0.43533489766219896,0.6981104981812887,-1.305417406109607,0.6591312543190326,1.050356124074002,-1.2672293761266855,-0.12462154407070139,-0.7629277707327824,0.5232501923854774,0.3451485785547953,1.1548720060849909,1.0862551628810015,0.28094245446008803,0.6184924952735502,-0.08209721306517088,0.8214998470570448,-0.7345890004319202,-1.0190533967514268,-1.3410112378278243,1.4527152724938677
2022-03-02 00:00:00-05:00,0.3746834103818098,0.38507250622864114,0.5331700063233205,0.8071122198863656,0.42901283252713734,0.5551063142613193,-1.4339489387691795,-1.5324860592717489,0.046459849406781266,-1.1468753197872803,0.5331700063233205,0.6312200460659732,0.43347598194964837,0.6097103895950741,-0.6285726773366879,0.6953056021034314,0.44666607644175377,1.4002421816192328,1.3183254440886585,-0.6883846771756628,0.571471394056281,0.42465571796662466,0.5810026250429994,1.197649977098832,0.28094245446008803,0.6184924952735502,0.46293711679441746,0.38938723073379666,-0.017315787861495804,-1.0190533967514268,-1.3410112378278243,-0.4980674597803935
2022-03-03 00:00:00-05:00,0.39994193637212494,0.366185549066068,0.5138887678522173,0.7999192959717372,0.4272264025158824,0.5471875680316963,-1.3607817662414832,-1.511222274833897,0.214097947171946,-0.9623083765394024,0.5138887678522173,0.5848439867347305,0.43975010398685177,0.41484764472172253,-0.7542050707635328,0.7340675015958075,0.08146908766307767,-0.4682405859427583,0.5284128233096873,-0.8502443866623203,0.5719183311182322,0.3972338477019208,0.38850589826723136,1.2373195482223498,0.28094245446008803,0.6091769138866145,0.3085011396222422,0.485052443914033,0.6999574247089286,-1.0190533967514268,-1.3410112378278243,-0.7167895723944147
2022-03-04 00:00:00-05:00,0.381103663645379,0.3574821938980586,0.5012073093162172,0.7886528482994722,0.41664901958668293,0.5354249029323486,-1.348479201903267,-1.4916083507650715,0.19439062070591823,-0.7819017916492843,0.5012073093162172,0.572804808495578,0.42666742112103156,0.42217322484619957,-0.9890106408074396,0.8309469093991003,0.8355068816390111,-0.677735211634678,-0.6240359734326476,-0.4953275024229638,0.4192745843336966,0.2879854872791632,0.028570531243829075,1.1621387414480973,0.28094245446008803,0.6091769138866145,0.07345273566134211,0.6711887449226973,1.417230637279353,-1.0190533967514268,-1.3410112378278243,-2.4787383196947426
2022-03-07 00:00:00-05:00,0.32272772563536645,0.33245411439842104,0.47564804638423425,0.7712281022918781,0.37423777708354516,0.5081809279934331,-1.5378650961287592,-1.515986246809395,-0.3310848541164598,-1.1467041318525466,0.47564804638423425,0.5723193823500493,0.3781347170143299,0.611441646972254,-1.84814610782787,0.986059768935696,1.9254576072389333,-2.3653505555638294,-1.6479481762731627,-1.0940818050529892,0.730698424782481,0.4439655913516017,1.996424663324762,1.3612849440917896,0.28094245446008803,0.6091769138866145,-0.8276299090721385,1.3847617263486645,-1.4518622130023446,-1.0190533967514268,-1.3410112378278243,-0.6596237659995865
2022-03-08 00:00:00-05:00,0.2769457609125935,0.3097497743304127,0.4489168349833747,0.7517066472195724,0.33039336345324133,0.47906592478909926,-1.7222614611488956,-1.5745019468183268,-0.7388556329011713,-1.578413294591528,0.4489168349833747,0.5743530884550785,0.3250078449017719,0.8280383501907932,-1.8398771329135601,1.1953577802299529,2.029762227969755,-0.6229811263255433,-1.3407918941866488,-1.0176771892170877,0.7178463870609394,0.44717463770143484,1.7982224705925467,1.4486035418442254,0.28094245446008803,0.6091769138866145,-1.0500592479690711,1.560904910817872,-0.7345890004319202,-1.0190533967514268,-1.3410112378278243,2.0286725379406647
2022-03-09 00:00:00-05:00,0.2402484224012603,0.31862083567519484,0.42811876118468706,0.733654507804977,0.32136082621322903,0.4658238568850421,-1.6734392325729264,-1.6109850173552807,-0.47567928776257185,-1.0801797949942287,0.42811876118468706,0.538599606190044,0.31847356875175453,0.7225727316776748,-0.9796176043385457,1.278882172027168,0.31432888179825436,1.9519008607407407,-1.0844605356742851,0.1539940631827135,0.8706025474653862,0.5955497078921023,0.5630758292338752,1.306223826652638,0.28094245446008803,0.6091769138866145,-0.27966635992073346,0.9508259649997428,-0.017315787861495804,-1.0190533967514268,-1.3410112378278243,-0.4194681200904299
2022-03-10 00:00:00-05:00,0.2051349981168463,0.3136788786583448,0.400150708403893,0.715126894993006,0.30891010909372757,0.4512130883230873,-1.6497920338034864,-1.6351683533249004,-0.32876086417074496,-0.8529288519904018,0.400150708403893,0.4651846641432322,0.3333021411206394,0.3948233183248359,-1.0857063416038621,1.3105742998419658,-0.4109760943750611,-0.3929572090075761,-1.0483912053745765,-0.3627051725827134,0.7986355768229018,0.5309855563237501,0.08961300760613548,0.9253060711271236,0.28094245446008803,0.6072188672348201,-0.40888272796031944,1.0473881470434316,0.6999574247089286,-1.0190533967514268,-1.3410112378278243,-1.1271933136462238
