Date,open,high,low,close,volume,dividends,stock_splits,symbol,date,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi,bb_middle,bb_upper,bb_lower,bb_width,bb_position,volume_sma,volume_ratio,price_change,price_change_5d,price_change_10d,volatility_10d,volatility_20d,hl_spread,hl_spread_avg,support,resistance,support_distance,resistance_distance,day_of_week,month,quarter,target_price_1d,target_return_1d,target_direction_1d,target_price_5d,target_return_5d,target_direction_5d,target_price_10d,target_return_10d,target_direction_10d
2020-03-16 00:00:00-04:00,2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,7805450000,0.0,0.0,^GSPC,2020-03-16 00:00:00-04:00,2640.279931640625,2807.7760009765625,3001.943981933594,3180.4273876953125,2797.423440458421,2975.179321323959,-177.75588086553807,-119.26268582343786,-58.49319504210021,31.445216641361753,3001.943981933594,3568.479446200611,2435.4085176665767,1133.0709285340345,-0.04349121808096632,6264733000.0,1.245934982384724,-0.11984055240393443,-0.13122967205959868,-0.22784715121734944,0.06761890331394278,0.050181268167435227,0.07629091793106073,0.05124040555563216,2380.93994140625,3393.52001953125,0.0021750456434218427,0.42218579297592657,0,3,1,2529.18994140625,0.0599548497440244,1,2237.39990234375,-0.06233104976391474,0,2626.64990234375,0.10079921519098206,1
2020-03-17 00:00:00-04:00,2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,8370250000,0.0,0.0,^GSPC,2020-03-17 00:00:00-04:00,2569.671923828125,2760.3579833984377,2959.8889770507812,3166.3141845703126,2756.149781417346,2941.5279399641695,-185.37815854682367,-132.48590115405787,-52.8922573927658,36.222045199706564,2959.8889770507812,3536.086430343864,2383.6915237576986,1152.3949065861652,0.1262574286097579,6495725500.0,1.2885781580517834,0.05995484974402432,-0.12248850419808743,-0.15788269752956563,0.07250160211067143,0.05294038471702612,0.07389318197043465,0.0532993754557917,2367.0400390625,3393.52001953125,0.06411139775986668,0.3417418612871857,1,3,1,2398.10009765625,-0.051830762729157855,0,2447.330078125,-0.03236604018586886,0,2584.590087890625,0.0219043044483927,1
2020-03-18 00:00:00-04:00,2436.5,2453.570068359375,2280.52001953125,2398.10009765625,8799300000,0.0,0.0,^GSPC,2020-03-18 00:00:00-04:00,2501.015966796875,2687.1559814453126,2910.4864868164063,3149.3505859375,2701.0573459191874,2900.580978802407,-199.52363288321976,-145.89354547636088,-53.63008740685888,36.333556014146,2910.4864868164063,3502.025585024036,2318.9473886087767,1183.0781964152593,0.0669040383698279,6754980500.0,1.3026388455155422,-0.051830762729157875,-0.1252215307001029,-0.2338632359543411,0.07037776741092532,0.05345768265825028,0.07216131178062712,0.057429679755829875,2280.52001953125,3389.14990234375,0.04903051304652181,0.4132645695882707,2,3,1,2409.389892578125,0.004707808040585514,1,2475.56005859375,0.03230055368130981,1,2470.5,0.03019052558085838,1
2020-03-19 00:00:00-04:00,2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,7956100000,0.0,0.0,^GSPC,2020-03-19 00:00:00-04:00,2486.765966796875,2625.7009765625,2862.294482421875,3132.79478515625,2656.1800063777937,2863.6171666626283,-207.4371602848346,-158.20234039535134,-49.23481988948325,37.09636683022503,2862.294482421875,3452.1436634044785,2272.445301439271,1179.6983619652074,0.11608441238379269,6951826500.0,1.1444618187752529,0.0047078080405855705,-0.028722427714387044,-0.2032282587405937,0.07083363725046345,0.053591449776213024,0.06109012985389094,0.060786985943140026,2280.52001953125,3360.760009765625,0.05348651683309756,0.39485934597721056,3,3,1,2304.919921875,-0.04335951230846194,0,2630.070068359375,0.09159172471878974,1,2526.89990234375,0.04877168702649678,1
2020-03-20 00:00:00-04:00,2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,9053950000,0.0,0.0,^GSPC,2020-03-20 00:00:00-04:00,2405.545947265625,2558.95595703125,2810.652978515625,3113.8321826171873,2602.134466584786,2821.6228109349704,-219.48834435018443,-170.45959851112693,-49.02874583905751,31.118812897081753,2810.652978515625,3406.0566576740566,2215.249299357193,1190.8073583168634,0.07530237522595677,7209085000.0,1.2559083434305462,-0.04335951230846191,-0.14979605267779128,-0.2245515090644402,0.07119241609348456,0.053939187695035584,0.06831037802119956,0.06477887891298803,2280.52001953125,3259.81005859375,0.010586008699122715,0.41428343243350885,4,3,1,2237.39990234375,-0.02929386782180441,0,2541.469970703125,0.10262831544954365,1,2488.64990234375,0.0797120883571911,1
2020-03-23 00:00:00-04:00,2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,7411380000,0.0,0.0,^GSPC,2020-03-23 00:00:00-04:00,2375.799951171875,2508.03994140625,2761.228479003906,3093.086181640625,2546.01660086807,2777.757668281961,-231.74106741389096,-182.71593814809046,-49.0251292658005,31.41092653918193,2761.228479003906,3375.316264943142,2147.1406930646704,1228.1755718784716,0.07349047753899703,7337096000.0,1.0101244416046893,-0.02929386782180443,-0.06233104976391479,-0.18538103860386435,0.06880973077196455,0.05387917984645792,0.04865910333366433,0.06493125820477279,2191.860107421875,3246.989990234375,0.020353891530150943,0.4512336336624696,0,3,1,2447.330078125,0.0938277397622755,1,2626.64990234375,0.17397426342615274,1,2663.679931640625,0.19052473759846536,1
2020-03-24 00:00:00-04:00,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,7563150000,0.0,0.0,^GSPC,2020-03-24 00:00:00-04:00,2359.427978515625,2464.549951171875,2727.1844848632813,3076.72578125,2530.8329472059186,2752.9732137338456,-222.140266527927,-190.60082742475635,-31.53943910317065,34.072640443064884,2727.1844848632813,3331.01785665772,2123.3511130688426,1207.6667435888776,0.2682685159428789,7435415500.0,1.0171792013506171,0.09382773976227554,-0.03236604018586886,-0.15089007653477404,0.07482646704604044,0.05912796914955883,0.04301423027166882,0.06407729498942827,2191.860107421875,3182.510009765625,0.10438721486185919,0.3004008074807288,1,3,1,2475.56005859375,0.011535011448222034,1,2584.590087890625,0.05608561386651429,1,2659.409912109375,0.08665763391706363,1
2020-03-25 00:00:00-04:00,2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,8300010000,0.0,0.0,^GSPC,2020-03-25 00:00:00-04:00,2374.919970703125,2437.96796875,2695.1429931640623,3060.474384765625,2522.3288990309297,2732.1846232751745,-209.8557242442448,-194.4518160099397,-15.403908234305106,36.7252509607238,2695.1429931640623,3279.720371399118,2110.5656149290066,1169.1547564701114,0.3121865960386008,7576183500.0,1.0955397265654931,0.011535011448221999,0.03230055368130991,-0.09696570179322761,0.07410612182913075,0.05931880101011432,0.06620315754780079,0.06637934286403138,2191.860107421875,3136.719970703125,0.11460031041744617,0.2670748826368402,2,3,1,2630.070068359375,0.062414163303876745,1,2470.5,-0.0020440055882240977,0,2749.97998046875,0.11085165190089759,1
2020-03-26 00:00:00-04:00,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,7766990000,0.0,0.0,^GSPC,2020-03-26 00:00:00-04:00,2419.056005859375,2452.910986328125,2677.70849609375,3047.4127880859373,2538.9053325068953,2724.539034916925,-185.63370241002985,-192.68818991152133,7.054487501491479,42.107228709612805,2677.70849609375,3247.2766644846133,2108.1403277028867,1139.1363367817266,0.45818022286167914,7611297500.0,1.020455447970599,0.062414163303876835,0.09159172471878985,0.06023856031193131,0.07008291454649064,0.06083348762064246,0.05181992704381335,0.06422089714787461,2191.860107421875,3136.719970703125,0.16661531805152752,0.1926374161810053,3,3,1,2541.469970703125,-0.033687352562252575,0,2526.89990234375,-0.0392271549175806,0,2789.820068359375,0.06073982663878277,1
2020-03-27 00:00:00-04:00,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,6201670000,0.0,0.0,^GSPC,2020-03-27 00:00:00-04:00,2466.366015625,2435.9559814453123,2657.07099609375,3032.45638671875,2539.299909731566,2710.843104481226,-171.54319474965996,-188.45918439821696,16.915989648557,44.95157945648269,2657.07099609375,3214.22952587151,2099.9124663159905,1114.3170595555193,0.3962584083234476,7492902500.0,0.8276725874919633,-0.033687352562252526,0.10262831544954354,-0.06254105377556052,0.06425858621275007,0.061182442307541184,0.03773009072839685,0.05991724284825571,2191.860107421875,3136.719970703125,0.13756206735133159,0.23421484686491012,4,3,1,2626.64990234375,0.03351600948370012,1,2488.64990234375,-0.02078327462777841,0,2761.6298828125,0.0866269972288775,1
