feature,importance
price_change_5d,2
hl_spread,2
macd,2
price_change_10d,1
volatility_10d,1
volume_ratio,1
bb_position,1
bb_lower,1
volume_sma,1
resistance_distance,1
day_of_week,1
sma_50,1
rsi,1
resistance,0
support,0
hl_spread_avg,0
support_distance,0
volatility_20d,0
month,0
sma_5,0
price_change,0
sma_10,0
bb_width,0
bb_upper,0
bb_middle,0
macd_histogram,0
macd_signal,0
ema_26,0
ema_12,0
sma_20,0
quarter,0
